file,start,end,labeller
detop_exp01_subj10_Sess1_02_05.pkl,4.181288592,6.511728572,connor
detop_exp01_subj10_Sess2_12_06.pkl,3.648944301,5.101263317,connor
detop_exp01_subj10_Sess2_03_01.pkl,3.94428031,6.299551442,connor
detop_exp01_subj10_Sess2_11_03.pkl,1.056226173,7.543727234,connor
detop_exp01_subj10_Sess1_08_01.pkl,0.044104651,2.638545838,connor
detop_exp01_subj10_Sess2_06_02.pkl,7.152758,10.00497128,connor
detop_exp01_subj10_Sess2_11_01.pkl,0,6.78515625,connor
detop_exp01_subj10_Sess1_05_06.pkl,4.180707937,5.867095581,connor
detop_exp01_subj10_Sess3_13_03.pkl,4.10247388,7.322745985,connor
detop_exp01_subj10_Sess1_13_04.pkl,0.590094207,0,connor
detop_exp01_subj10_Sess3_09_01.pkl,4.53366815,7.241314455,connor
detop_exp01_subj10_Sess2_02_04.pkl,0,10.68945313,connor
detop_exp01_subj10_Sess3_08_02.pkl,2.42828043,3.909532413,connor
detop_exp01_subj10_Sess3_06_02.pkl,0,7.203125,connor
detop_exp01_subj10_Sess1_04_06.pkl,4.080746307,6.987288408,connor
detop_exp01_subj10_Sess2_05_02.pkl,0,10.36523438,connor
detop_exp01_subj10_Sess1_04_03.pkl,4.29986634,7.118949453,connor
detop_exp01_subj10_Sess3_04_05.pkl,3.060752554,3.892561515,connor
detop_exp01_subj10_Sess2_05_04.pkl,2.82623122,7.3477866,connor
detop_exp01_subj10_Sess1_06_01.pkl,0,11.19726563,connor
detop_exp01_subj10_Sess3_10_06.pkl,0,9.2265625,connor
detop_exp01_subj10_Sess2_09_04.pkl,1.672843248,7.577106411,connor
detop_exp01_subj10_Sess3_01_03.pkl,1.163376988,5.318097638,connor
detop_exp01_subj10_Sess1_09_04.pkl,4.788658272,11.98789911,connor
detop_exp01_subj10_Sess3_10_02.pkl,1.401644942,6.027557653,connor
detop_exp01_subj10_Sess1_01_05.pkl,4.848874855,19.58336185,connor
detop_exp01_subj10_Sess3_04_04.pkl,0,11.578125,connor
detop_exp01_subj10_Sess3_04_01.pkl,2.81778388,5.629738273,connor
detop_exp01_subj10_Sess3_10_03.pkl,1.652591334,8.439995223,connor
detop_exp01_subj10_Sess2_09_02.pkl,2.106441598,8.52572868,connor
detop_exp01_subj10_Sess2_01_03.pkl,3.963229033,6.246036145,connor
detop_exp01_subj10_Sess1_01_03.pkl,3.328612167,4.91822148,connor
detop_exp01_subj10_Sess1_09_02.pkl,3.991238676,6.752154556,connor
detop_exp01_subj10_Sess3_13_02.pkl,3.49347265,6.530431978,connor
detop_exp01_subj10_Sess3_10_04.pkl,2.909206048,6.06319278,connor
